GEOID,county_name,total_population,equity_need_score,commute_burden_score,is_transit_desert,transit_access_index,median_household_income,predicted_burden_score,high_priority_flag
06095253502,Solano,4559,0.5207,0.142,1,0.0,83856,0.1835,1
06095253208,Solano,4842,0.478,0.1267,1,0.0,99643,0.1129,0
06001443001,Alameda,2762,0.3601,0.0967,1,0.0,149803,0.0888,0
06001443002,Alameda,6599,0.3815,0.081,1,0.0,134309,0.1122,0
06001443102,Alameda,4816,0.255,0.0684,0,0.0227606870629611,229008,0.0968,0
06001443301,Alameda,4399,0.2487,0.0604,1,0.0,240927,0.0842,0
06001444100,Alameda,7211,0.3489,0.1055,1,0.0,158011,0.126,0
06001444200,Alameda,6782,0.3489,0.116,1,0.0,161307,0.1118,0
06001444400,Alameda,5367,0.4442,0.1052,1,0.0,109107,0.0764,0
06001444500,Alameda,6988,0.3808,0.1343,1,0.0,148750,0.1083,0
06001450200,Alameda,5272,0.4421,0.0921,1,0.0,107111,0.1333,1
06001450300,Alameda,5374,0.4074,0.1638,0,0.0497226887462239,136875,0.1311,1
